time_seconds, weighted_integrated_cars, cars_entered, cars_exited, time_int_cars_exits, time_int_cars_main, LOSA_count, LOSB_count, LOSC_count, LOSD_count, LOSE_count, segment_LOSA_count, segment_LOSB_count, segment_LOSC_count, segment_LOSD_count, segment_LOSE_count
0.0, 0.08624835722845144, 0.056569199655315414, 0.055352355912251586, 0.0003162991766414373, 0.5182189039995948, 4, 0, 0, 3, 17, 10, 1, 1, 0, 48
100.0, 86.22116541226248, 56.32888719894476, 55.40770826816248, 0.31661547581808364, 519.0192017044477, 4, 0, 0, 3, 17, 10, 0, 1, 1, 48
200.0, 172.1010694438524, 111.86988528706863, 110.76006418041067, 0.6329146524595272, 1037.745293745909, 4, 0, 0, 3, 17, 10, 0, 0, 1, 49
300.0, 257.7237239238543, 167.4109008658976, 166.11242009265885, 0.9492138291009707, 1556.5657112347672, 4, 0, 0, 3, 17, 10, 0, 0, 0, 50
400.0, 343.1047376529985, 222.9519335230645, 221.46477600490704, 1.2655130057424142, 2075.4804628547427, 4, 0, 0, 3, 17, 10, 0, 0, 0, 50
500.0, 428.3179070574057, 278.49298269514503, 276.8171319171552, 1.5818121823838578, 2594.4895570029666, 4, 0, 0, 3, 17, 10, 0, 0, 0, 50
600.0, 513.3797524411929, 334.0340478431985, 332.1694878294034, 1.8981113590253014, 3113.5930018010167, 4, 0, 0, 3, 17, 10, 0, 0, 0, 50
700.0, 598.2907397017512, 389.5751284514673, 387.5218437416516, 2.2144105356667447, 3632.7908051069244, 4, 0, 0, 3, 17, 10, 0, 0, 0, 50
800.0, 683.0388020503583, 445.1162240261557, 442.8741996538998, 2.5307097123081883, 4152.082974526303, 4, 0, 0, 3, 17, 10, 0, 0, 0, 50
900.0, 767.6996385339586, 500.6548880711742, 498.22655556614797, 2.847008888949632, 4671.4693266645845, 4, 0, 0, 3, 17, 10, 0, 0, 0, 50
1000.0, 852.366217081292, 556.196012179431, 553.5789114784388, 3.1633080655910755, 5190.949027159792, 4, 0, 0, 3, 17, 10, 0, 0, 0, 50
1100.0, 937.0333192610054, 611.7371498932863, 608.9312673907439, 3.479607242232519, 5710.523115175501, 4, 0, 0, 3, 17, 10, 0, 0, 0, 50
1200.0, 1021.6994823398217, 667.2783007959368, 664.2836233030489, 3.7959064188739626, 6230.191597409487, 4, 0, 0, 3, 17, 10, 0, 0, 0, 50
1300.0, 1106.3647065061375, 722.819464487437, 719.6359792153539, 4.112205595515406, 6749.954480355367, 4, 0, 0, 3, 17, 10, 0, 0, 0, 50
1400.0, 1191.0289923974753, 778.3606405838538, 774.988335127659, 4.42850477215685, 7269.811770310804, 4, 0, 0, 3, 17, 10, 0, 0, 0, 50
1500.0, 1275.6923378300066, 833.9018287164755, 830.340691039964, 4.744803948798293, 7789.763473385399, 4, 0, 0, 3, 17, 10, 0, 0, 0, 50
1600.0, 1360.354744049295, 889.443028531054, 885.693046952269, 5.061103125439737, 8309.809595508024, 4, 0, 0, 3, 17, 10, 0, 0, 0, 50
1700.0, 1445.0162107890635, 944.9842396871271, 941.045402864574, 5.3774023020811805, 8829.95014243392, 4, 0, 0, 3, 17, 10, 0, 0, 0, 50
1800.0, 1529.6767361845089, 1000.5254618573524, 996.3977587768791, 5.693701478722624, 9350.1851197514, 4, 0, 0, 3, 17, 9, 1, 0, 0, 50
1900.0, 1614.3363218373927, 1056.0666947268548, 1051.750114689127, 6.010000655364068, 9870.514532888174, 4, 0, 0, 3, 17, 9, 1, 0, 0, 50
2000.0, 1698.9949665648185, 1111.607937992633, 1107.1024706013184, 6.326299832005511, 10390.938387117583, 4, 0, 0, 3, 17, 9, 1, 0, 0, 50
2100.0, 1783.6526697680777, 1167.1491913630366, 1162.4548265135097, 6.642599008646955, 10911.456687564369, 4, 0, 0, 3, 17, 9, 1, 0, 0, 50
2200.0, 1868.3094324587573, 1222.6904545572283, 1217.807182425701, 6.958898185288398, 11432.069439210123, 4, 0, 0, 3, 17, 9, 1, 0, 0, 50
2300.0, 1952.965252840045, 1278.231727304686, 1273.1595383378924, 7.275197361929842, 11952.776646898557, 4, 0, 0, 3, 17, 9, 1, 0, 0, 50
2400.0, 2037.6201315878084, 1333.773009344731, 1328.5118942500837, 7.591496538571286, 12473.5783153406, 4, 0, 0, 3, 17, 9, 1, 0, 0, 50
2500.0, 2122.2740691195104, 1389.3143004260871, 1383.864250162275, 7.907795715212729, 12994.474449119376, 4, 0, 0, 3, 17, 9, 1, 0, 0, 50
2600.0, 2206.9270630103133, 1444.8556003064593, 1439.2166060744664, 8.224094891853543, 13515.465052694612, 4, 0, 0, 3, 17, 9, 0, 1, 0, 50
2700.0, 2291.5791152232914, 1500.3969087521352, 1494.5689619866578, 8.540394068494098, 14036.550130406951, 4, 0, 0, 3, 17, 9, 0, 1, 0, 50
2800.0, 2376.230224943636, 1555.938225537609, 1549.921317898849, 8.856693245134654, 14557.729686482244, 4, 0, 0, 3, 17, 9, 0, 1, 0, 50
2900.0, 2460.8803910018246, 1611.4795504452247, 1605.2736738110405, 9.17299242177521, 15079.003725035587, 4, 0, 0, 3, 17, 9, 0, 1, 0, 50
3000.0, 2545.5296147658055, 1667.0208832648366, 1660.6260297232318, 9.489291598415765, 15600.372250075126, 4, 0, 0, 3, 17, 9, 0, 1, 0, 50
3100.0, 2630.1778948058186, 1722.562223793488, 1715.9783856354231, 9.80559077505632, 16121.835265505615, 4, 0, 0, 3, 17, 9, 0, 1, 0, 50
3200.0, 2714.82523121572, 1778.1035718351059, 1771.3307415476145, 10.121889951696875, 16643.39277513242, 4, 0, 0, 3, 17, 9, 0, 0, 1, 50
3300.0, 2799.4716247649962, 1833.6449272002158, 1826.6830974598058, 10.43818912833743, 17165.044782664332, 4, 0, 0, 3, 17, 9, 0, 0, 1, 50
3360.0, 2850.1743615839523, 1866.914202494895, 1859.8391586512084, 10.627652335145124, 17477.55959177382, 4, 0, 0, 3, 17, 9, 0, 0, 1, 50
